wavenumber,mean_absorbance,sd_absorbance,cv_percent
3153.87801,0.0280675,2.4486390778008407e-4,0.8724108231231285
3151.94785,0.0279175,2.38240074994391e-4,0.8533718097766312
3150.01769,0.027757499999999997,2.463567873363066e-4,0.887532333013804
3148.08753,0.027595,2.5013329779672796e-4,0.906444275400355
3146.15738,0.0274275,2.4459149617270037e-4,0.891774664744145
3144.22722,0.027257499999999997,2.3824007499439204e-4,0.8740349444901112
3142.29706,0.027082500000000002,2.3921747427811413e-4,0.8832916986176096
3140.3669,0.0269125,2.3921747427811413e-4,0.8888712467370707
3138.43675,0.0267325,2.3893862531341886e-4,0.8938132434804783
3136.50659,0.026547499999999998,2.3329166294576371e-4,0.8787707428035172
3134.57643,0.02637,2.3137271518771003e-4,0.8774088554710278
3132.64627,0.0262,2.2686266036231391e-4,0.8658880166500531
3130.71611,0.026025,2.2810816147900807e-4,0.8764962977099253
3128.78596,0.0258525,2.298368986912238e-4,0.8890316166375546
3126.8558,0.025697499999999998,2.2867371223353716e-4,0.8898675444441567
3124.92564,0.025544999999999998,2.3057898140694988e-4,0.9026384083262865
3122.99548,0.0254,2.2963739532866548e-4,0.9040842335774233
3121.06532,0.0252575,2.269177530883527e-4,0.898417314019015
3119.13517,0.0251375,2.223173407541575e-4,0.8844051347753654
3117.20501,0.0250275,2.2231734075415713e-4,0.8882922415509223
3115.27485,0.024917500000000002,2.2231734075415713e-4,0.8922136681214291
3113.34469,0.0248325,2.21265300789196e-4,0.8910311116045343
3111.41453,0.02475,2.2015146301277835e-4,0.8895008606576903
3109.48438,0.024665,2.145538005567216e-4,0.8698714800596863
3107.55422,0.024599999999999997,2.2015146301277835e-4,0.8949246463934081
3105.62406,0.024535,2.193171219946126e-4,0.8938949337461283
3103.6939,0.02448,2.0736441353327696e-4,0.847076852668615
3101.76375,0.024425000000000002,2.0631690833925113e-4,0.8446956329140272
3099.83359,0.0243725,2.1639085008382365e-4,0.8878483950510767
3097.90343,0.02433,2.1571586249817943e-4,0.8866249999925172
3095.97327,0.0242775,2.174664725116644e-4,0.8957531562626481
3094.04311,0.024239999999999998,2.1832697191750443e-4,0.9006888280425102
3092.11296,0.0242025,2.1639085008382365e-4,0.8940847023399388
3090.1828,0.02415,2.1863211109075464e-4,0.9053089486159612
3088.25264,0.0240975,2.1608254595562894e-4,0.8967010932902955
3086.32248,0.0240375,2.1108844907605237e-4,0.8781630746793649
3084.39232,0.0239775,2.1561926320870964e-4,0.8992566498121558
3082.46217,0.02391,2.0704266871026113e-4,0.8659250050617361
3080.53201,0.02384,2.0248456731316607e-4,0.8493480172532133
3078.60185,0.023765,2.0631690833925045e-4,0.868154463872293
3076.67169,0.0236975,2.1077238908357847e-4,0.8894287966392171
3074.74153,0.023612499999999998,2.1187653637594472e-4,0.8973066654354461
3072.81138,0.023535,2.080865204668478e-4,0.8841577245245287
3070.88122,0.023467500000000002,2.0629671188202107e-4,0.8790740891957858
3068.95106,0.0233975,2.0172175556113617e-4,0.8621508945876105
3067.0209,0.023325,1.9672315572906047e-4,0.843400453286433
3065.09074,0.02325,1.9578900207451266e-4,0.8421032347290867
