variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max
wn_1109.84,1109.84,1.2654717084729612,1.261026611354978,1.1907526162715807,1.2654717084729612
wn_1602.03,1602.03,1.2646734733726297,1.1055885602429374,1.0425199056656598,1.2646734733726297
wn_2984.02,2984.02,1.2645636431084017,1.0117939589084184,0.9912224934870687,1.2645636431084017
wn_2997.54,2997.54,1.2639251463308105,1.0114238918155263,1.017482997804857,1.2639251463308105
wn_1264.25,1264.25,1.259900586880704,1.1520919726053005,1.1055514821698198,1.259900586880704
wn_1511.31,1511.31,0.6959653860141942,1.2022778393450164,1.2580521091698593,1.2580521091698593
wn_2982.09,2982.09,1.2574661413710728,1.006227639287937,0.9834501598285624,1.2574661413710728
wn_2999.47,2999.47,1.256828374081437,1.00568749104731,1.0171177527369186,1.256828374081437
wn_1513.24,1513.24,0.7055721957324299,1.2070033827145459,1.251853943700501,1.251853943700501
wn_1111.77,1111.77,1.2292997276639601,1.2494177574991978,1.1798544514932614,1.2494177574991978
wn_2980.16,2980.16,1.2488674991874311,0.9995431452955719,0.9748133730360872,1.2488674991874311
wn_3001.4,3001.4,1.2482459817877158,0.9987512935109314,1.015742422436398,1.2482459817877158
wn_1515.17,1515.17,0.7067379900460444,1.2104462885040976,1.2470668255254622,1.2470668255254622
wn_1266.18,1266.18,1.2456749258457067,1.1489627093734738,1.1016151582534754,1.2456749258457067
wn_1188.98,1188.98,1.2448023025341208,1.1501390934980593,1.0931942375077022,1.2448023025341208
wn_1517.1,1517.1,0.69985321334164,1.213159737941391,1.2434474613583053,1.2434474613583053
wn_1519.03,1519.03,0.6854832029368292,1.2153903175341154,1.2406610289698128,1.2406610289698128
wn_2978.23,2978.23,1.2389367825063549,0.9918692719834428,0.9654228591220713,1.2389367825063549
wn_3003.33,3003.33,1.2383971897232953,0.9908248065016226,1.0134531005876897,1.2383971897232953
wn_1520.96,1520.96,0.6651691193575999,1.2171627314035545,1.2382812377645322,1.2382812377645322
wn_1522.89,1522.89,0.6415026929508838,1.2183775925994464,1.2358372215118183,1.2358372215118183
wn_1113.7,1113.7,1.185863656750846,1.2346795390949112,1.1659120920771435,1.2346795390949112
wn_1268.11,1268.11,1.234062921655284,1.1467343959521594,1.0985793020973773,1.234062921655284
wn_1524.82,1524.82,0.6175408026226907,1.2188992618112398,1.2329187138956537,1.2329187138956537
wn_1565.36,1565.36,0.10714992819010136,1.224530908593064,1.2314523940354192,1.2314523940354192
wn_1563.43,1563.43,0.26304510342248827,1.2263278320417843,1.2312760614349454,1.2312760614349454
wn_1526.75,1526.75,0.5965064395435508,1.2186251431572444,1.2292770307329002,1.2292770307329002
wn_2976.3,2976.3,1.2279376140056513,0.9833937833179451,0.9554571822993895,1.2279376140056513
wn_3005.26,3005.26,1.227539121519973,0.9821564518813404,1.0103692588775823,1.227539121519973
wn_1561.5,1561.5,0.37666176977358,1.2250393297278266,1.226959000904646,1.226959000904646
wn_1270.04,1270.04,1.2252197546382413,1.1454588835038355,1.0964699700351725,1.2252197546382413
wn_1528.69,1528.69,0.5810391779017937,1.2175946707096768,1.2249465675146507,1.2249465675146507
wn_1567.29,1567.29,0.09832058152177671,1.2169794767401425,1.2232949520730696,1.2232949520730696
wn_1559.57,1559.57,0.45616818345571025,1.2224367488354428,1.2211099967961652,1.2224367488354428
wn_1530.62,1530.62,0.5716074477702768,1.2160701220340868,1.220297269620063,1.220297269620063
wn_1683.1,1683.1,0.8364943599614995,1.2197203919167228,1.2003455416806161,1.2197203919167228
wn_1557.64,1557.64,0.5062536517375409,1.219678696461172,1.2154330674827964,1.219678696461172
wn_1681.17,1681.17,0.750219038195852,1.2195292548310945,1.1970803174243563,1.2195292548310945
wn_1271.97,1271.97,1.219122530344758,1.1451270565577445,1.0952632756522387,1.219122530344758
wn_1555.71,1555.71,0.5328515383336799,1.217352487901122,1.2109284423425606,1.217352487901122
wn_1685.03,1685.03,0.91523332845089,1.2171964297544398,1.2005429864691404,1.2171964297544398
wn_1679.24,1679.24,0.6607195841875544,1.2165202723658155,1.1907920310029252,1.2165202723658155
wn_2974.37,2974.37,1.21631300262861,0.974434085860358,0.9452014150084829,1.21631300262861
wn_1115.63,1115.63,1.1333892729609896,1.2162271551312873,1.1483723421368082,1.2162271551312873
wn_3007.19,3007.19,1.2160440436589954,0.9730894750295986,1.0066927375589048,1.2160440436589954
wn_1532.55,1532.55,0.5667082577120813,1.2143777508726832,1.2157465794368847,1.2157465794368847
wn_1273.9,1273.9,1.2154357420459576,1.14559607630968,1.0948277052263797,1.2154357420459576
wn_1553.78,1553.78,0.546007246785012,1.2153896238668942,1.2075265940178093,1.2153896238668942
wn_1551.85,1551.85,0.5518325031628237,1.213656969902029,1.204911134379564,1.213656969902029
wn_1275.83,1275.83,1.2134031666410983,1.1465376322492133,1.0948794906736383,1.2134031666410983
wn_1534.48,1534.48,0.5650057348105374,1.2127200386808974,1.2115258382856078,1.2127200386808974
wn_1686.96,1686.96,0.9845953455846663,1.2123295720089944,1.1980521333135588,1.2123295720089944
wn_1549.92,1549.92,0.5533581860891996,1.2121846744659177,1.2030044033918328,1.2121846744659177
