cluster,wavenumber,median_absorbance,q25_absorbance,q75_absorbance,mean_absorbance,n
1,3165.4589557647705,0.028935017064213753,0.026552637107670307,0.03410496935248375,0.030795941253503163,15
1,3163.528797864914,0.028825797140598297,0.026465272530913353,0.033910952508449554,0.03064127452671528,15
1,3161.5986399650574,0.028712816536426544,0.026375644840300083,0.03371486812829971,0.030485135813554127,15
1,3159.668482065201,0.02859506569802761,0.026282213628292084,0.03351535461843014,0.030326649422446887,15
1,3157.7383241653442,0.028472144156694412,0.026183832436800003,0.0333123542368412,0.030165542289614676,15
1,3155.8081662654877,0.028344277292490005,0.026079822331666946,0.03310674987733364,0.030001879607637724,15
1,3153.878008365631,0.028212158009409904,0.025970332324504852,0.032899726182222366,0.029835937668879826,15
1,3151.9478504657745,0.02807590924203396,0.02585555985569954,0.03269178606569767,0.029667531326413154,15
1,3150.017692565918,0.027934212237596512,0.0257346136495471,0.0324818417429924,0.029495240127046903,15
1,3148.0875346660614,0.02778523415327072,0.02560612838715315,0.032267688773572445,0.029317110652724902,15
1,3146.157376766205,0.02762829326093197,0.025469675660133362,0.03204772807657719,0.02913227826356888,15
1,3144.2272188663483,0.02746426686644554,0.025325974449515343,0.031821973621845245,0.02894152340789636,15
1,3142.2970609664917,0.027294989675283432,0.025176594965159893,0.03159164451062679,0.028746605788667997,15
1,3140.366903066635,0.027122631669044495,0.025023690424859524,0.031358188949525356,0.028549247483412424,15
1,3138.4367451667786,0.0269492045044899,0.024869093671441078,0.031122559681534767,0.028350384285052616,15
1,3136.506587266922,0.026776153594255447,0.024713637307286263,0.030885113403201103,0.02815026342868805,15
1,3134.5764293670654,0.026604382321238518,0.024557940661907196,0.030647384002804756,0.027949300905068714,15
1,3132.646271467209,0.026434732601046562,0.024403342977166176,0.030410192906856537,0.02774850813051065,15
1,3130.7161135673523,0.02626817859709263,0.024251144379377365,0.030173080042004585,0.027548830086986224,15
1,3128.7859556674957,0.026105713099241257,0.024101748131215572,0.02993678767234087,0.0273508516450723,15
1,3126.855797767639,0.02594848722219467,0.023955903947353363,0.029702922329306602,0.02715589478611946,15
1,3124.9256398677826,0.025798296555876732,0.023816145956516266,0.02947504911571741,0.026966776326298715,15
1,3122.995481967926,0.025657720863819122,0.02368595264852047,0.029257378540933132,0.02678685374557972,15
1,3121.0653240680695,0.02552921697497368,0.02356779109686613,0.029052656143903732,0.026618500674764314,15
1,3119.135166168213,0.025413835421204567,0.0234623234719038,0.028861657716333866,0.026462628444035848,15
1,3117.2050082683563,0.02531100995838642,0.023369090631604195,0.02869862038642168,0.026319278031587602,15
1,3115.2748503684998,0.025219151750206947,0.02327832207083702,0.028563115745782852,0.026188056791822116,15
1,3113.344692468643,0.025136340409517288,0.023195247165858746,0.028438614681363106,0.02606810852885246,15
1,3111.4145345687866,0.025061065331101418,0.023120835423469543,0.028323819860816002,0.025958292931318284,15
1,3109.48437666893,0.024992307648062706,0.023053811863064766,0.028217468410730362,0.025857355197270712,15
1,3107.5542187690735,0.024928612634539604,0.022992814891040325,0.02811805810779333,0.025763618325193725,15
1,3105.624060869217,0.02486768551170826,0.022935813292860985,0.028023737482726574,0.025674894576271375,15
1,3103.6939029693604,0.02480781264603138,0.022880928590893745,0.027933267876505852,0.025589440142114957,15
1,3101.763745069504,0.024749312549829483,0.022827561013400555,0.027846980839967728,0.025506963953375816,15
