sample_1,sample_2,baseline_same_cluster,consensus
19,6,FALSE,0.01779935275080906
2,6,TRUE,0.4896988906497623
20,6,FALSE,0.038461538461538464
21,6,FALSE,0
22,6,TRUE,0.5208655332302936
23,6,TRUE,0.6724960254372019
24,6,FALSE,0.0031446540880503146
25,6,FALSE,0
3,6,FALSE,0
4,6,TRUE,0.9937007874015747
5,6,FALSE,0
1,7,FALSE,0.025559105431309903
10,7,FALSE,0.20249221183800623
11,7,FALSE,0.03139717425431711
12,7,FALSE,0.031201248049921998
13,7,FALSE,0.121875
14,7,FALSE,0.025236593059936908
15,7,FALSE,0.029641185647425898
16,7,FALSE,0.19875776397515527
17,7,FALSE,0.02450229709035222
18,7,FALSE,0.24881889763779527
19,7,TRUE,1
2,7,FALSE,0.1700787401574803
20,7,FALSE,0.17182662538699692
21,7,TRUE,0.784037558685446
22,7,FALSE,0.18662519440124417
23,7,FALSE,0.1769352290679305
24,7,FALSE,0.11875
25,7,TRUE,1
3,7,TRUE,0.7370820668693009
4,7,FALSE,0.026604068857589983
5,7,TRUE,0.7806451612903226
6,7,FALSE,0.029827315541601257
1,8,TRUE,0.4755905511811024
10,8,TRUE,1
11,8,TRUE,0.48580441640378547
12,8,TRUE,0.5306122448979592
13,8,TRUE,0.9145569620253164
14,8,TRUE,0.48811410459587956
15,8,TRUE,0.49297971918876754
16,8,TRUE,1
17,8,TRUE,0.45412130637636083
18,8,FALSE,0.40093603744149764
19,8,FALSE,0.14513556618819776
2,8,TRUE,1
20,8,FALSE,0.5438871473354232
21,8,FALSE,0
22,8,TRUE,1
23,8,TRUE,0.9088
24,8,FALSE,0.4142194744976816
25,8,FALSE,0.049679487179487176
3,8,FALSE,0
4,8,TRUE,0.4968944099378882
5,8,FALSE,0
6,8,TRUE,0.5209302325581395
7,8,FALSE,0.17165354330708663
1,9,FALSE,0.11219512195121951
10,9,FALSE,0.7790322580645161
11,9,FALSE,0.1270358306188925
12,9,FALSE,0.14217252396166133
13,9,FALSE,0.6211382113821138
14,9,FALSE,0.11908646003262642
15,9,FALSE,0.12995245641838352
16,9,FALSE,0.6962025316455697
17,9,FALSE,0.11251980982567353
18,9,TRUE,0.8247588424437299
19,9,FALSE,0.15422885572139303
2,9,FALSE,0.740983606557377
20,9,TRUE,1
21,9,FALSE,0
22,9,FALSE,0.7044728434504792
23,9,FALSE,0.5255354200988468
24,9,TRUE,0.8713826366559485
25,9,FALSE,0.08099173553719008
3,9,FALSE,0
4,9,FALSE,0.1178343949044586
5,9,FALSE,0
6,9,FALSE,0.1414790996784566
7,9,FALSE,0.18009478672985782
8,9,FALSE,0.7071197411003236
